ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
5927,"Romeo no Aoi Sora",33,"['Nippon Animation']","['Europe', 'World Masterpiece Theater']",TV,1995,4.1,NipponAnimation,EuropeWorldMasterpieceTheater
5928,"Kyou Kara Ore Wa!!",10,"['Studio Pierrot']","['Based on a Manga', 'Bullying', 'Comedy', 'Delinquents', 'Physical Abuse', 'School Life', 'Shounen']",OVA,1992,4.1,StudioPierrot,BasedonaMangaBullyingComedyDelinquentsPhysicalAbuseSchoolLifeShounen
5930,"Capeta",52,"['Studio Comet']","['Action', 'Based on a Manga', 'Cars', 'Racing', 'Sports']",TV,2005 - 2006,4.1,StudioComet,ActionBasedonaMangaCarsRacingSports
5935,"Pandora Hearts",25,"['XEBEC']","['Action', 'Alice in Wonderland', 'Based on a Manga', 'Comedy', 'Fantasy', 'Mystery', 'Shounen']",TV,2009,4.1,XEBEC,ActionAliceinWonderlandBasedonaMangaComedyFantasyMysteryShounen
5936,"Maison Ikkoku",96,"['Studio Deen']","['Based on a Manga', 'Boarding House', 'Comedy', 'Coming of Age', 'Drama', 'Love Triangle', 'Romance']",TV,1986 - 1988,4.1,StudioDeen,BasedonaMangaBoardingHouseComedyComingofAgeDramaLoveTriangleRomance
5937,"Mitsudomoe Zouryouchuu!",8,"['Bridge']","['"[]"']",TV,2011,4.1,Bridge,
5939,"Aikatsu! The Movie",1,"['Sunrise']","['Based on a Card Game', 'Idols', 'Music', 'Shoujo']",Movie,2014,4.1,Sunrise,BasedonaCardGameIdolsMusicShoujo
594,"Junjou Romantica",12,"['Studio Deen']","['Age Gap', 'Based on a Manga', 'Comedy', 'Drama', 'LGBT Themes', 'Romance', 'Sexual Content', 'Shounen-ai', 'Yaoi Hand Syndrome']",TV,2008,4.3,StudioDeen,AgeGapBasedonaMangaComedyDramaLGBTThemesRomanceSexualContentShounen-aiYaoiHandSyndrome
5940,"Full Metal Panic! The Second Raid: Episode 00",1,"['Kyoto Animation']","['Action', 'Military', 'War']",Other,2005,4.1,KyotoAnimation,ActionMilitaryWar
5942,"FLCL",6,"['Gainax']","['Action', 'Comedy', 'Coming of Age', 'Original Work', 'Robots', 'Romance', 'Sci Fi', 'Seinen']",OVA,2000 - 2001,4.1,Gainax,ActionComedyComingofAgeOriginalWorkRobotsRomanceSciFiSeinen
5943,"Rokka no Yuusha",12,"['Passione']","['Action', 'Adventure', 'Based on a Light Novel', 'Fantasy', 'Mystery']",TV,2015,4.1,Passione,ActionAdventureBasedonaLightNovelFantasyMystery
5945,"Kekkai Sensen",12,"['Bones']","['Action', 'Based on a Manga', 'Comedy', 'Sci Fi', 'Superpowers', 'Vampires']",TV,2015,4.1,Bones,ActionBasedonaMangaComedySciFiSuperpowersVampires
5947,"Guilty Crown",22,"['Production I.G']","['Action', 'Mecha', 'noitaminA', 'Original Work', 'Sci Fi']",TV,2011 - 2012,4.1,ProductionI.G,ActionMechanoitaminAOriginalWorkSciFi
5948,"The New Prince of Tennis",13,"['Production I.G']","['Sports', 'Tennis']",TV,2012,4.1,ProductionI.G,SportsTennis
595,"Ghost in the Shell",1,"['Production I.G']","['Cyberpunk', 'Cyborgs', 'Futuristic', 'Hacking', 'Police', 'Sci Fi']",Movie,1995,4.3,ProductionI.G,CyberpunkCyborgsFuturisticHackingPoliceSciFi
5951,"Genshiken",12,"['Palm Studio']","['Based on a Manga', 'Comedy', 'Doujinshi', 'Manga Industry', 'Otaku Culture', 'School Club', 'Slice of Life']",TV,2004,4.1,PalmStudio,BasedonaMangaComedyDoujinshiMangaIndustryOtakuCultureSchoolClubSliceofLife
5952,"Golden Time",24,"['J.C.Staff']","['Based on a Light Novel', 'Comedy', 'Coming of Age', 'Drama', 'Love Triangle', 'Romance', 'School Life']",TV,2013 - 2014,4.1,J.C.Staff,BasedonaLightNovelComedyComingofAgeDramaLoveTriangleRomanceSchoolLife
5957,"Akira",1,"['TMS Entertainment']","['Action', 'Based on a Manga', 'Cyberpunk', 'Futuristic', 'Post-apocalyptic', 'Psychic Powers', 'Sci Fi', 'Violence']",Movie,1988,4.1,TMSEntertainment,ActionBasedonaMangaCyberpunkFuturisticPost-apocalypticPsychicPowersSciFiViolence
5961,"White Album 2",13,"['Satelight']","['Based on an Eroge', 'Based on a Visual Novel', 'Drama', 'Love Triangle', 'Music', 'Romance', 'School Club', 'School Life']",TV,2013,4.1,Satelight,BasedonanErogeBasedonaVisualNovelDramaLoveTriangleMusicRomanceSchoolClubSchoolLife
5962,"Servant x Service",13,"['A-1 Pictures']","['Based on a Manga', 'Comedy', 'Slice of Life', 'Work Life']",TV,2013,4.1,A-1Pictures,BasedonaMangaComedySliceofLifeWorkLife
5965,"Kyousougiga (2013)",10,"['Toei Animation']","['Comedy', 'Fantasy', 'Original Work', 'Supernatural']",TV,2013,4.1,ToeiAnimation,ComedyFantasyOriginalWorkSupernatural
5966,"Perfect Blue",1,"['MADHOUSE']","['Based on a Novel', 'Horror', 'Idols', 'Nudity', 'Physical Abuse', 'Psychological', 'Sexual Content', 'Thriller', 'Violence']",Movie,1997,4.1,MADHOUSE,BasedonaNovelHorrorIdolsNudityPhysicalAbusePsychologicalSexualContentThrillerViolence
5967,"The Familiar of Zero",13,"['J.C.Staff']","['Based on a Light Novel', 'Comedy', 'Fantasy', 'Magic', 'Magic School', 'Master-Servant Relationship', 'Person in a Strange World', 'Tsundere']",TV,2006,4.1,J.C.Staff,BasedonaLightNovelComedyFantasyMagicMagicSchoolMaster-ServantRelationshipPersoninaStrangeWorldTsundere
597,"Shijou Saikyou no Deshi Kenichi OVA",11,"['Brains-Base']","['Action', 'Hand to Hand Combat', 'Martial Arts', 'Shounen']",OVA,2012 - 2014,4.3,Brains-Base,ActionHandtoHandCombatMartialArtsShounen
