ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating,ProductionHouse_Merged,Genres_Merged
['40', 'Omae Umasou da na (You Are Umasou)', '1', "['Asia-Do', 'Graphinica']", "['Adventure', 'Kids']", 'Movie', '2010-2010', 'G'],Asia-DoGraphinica,AdventureKids
['41', 'Death Billiards', '1', "['Madhouse']", "['Game', 'Psychological']", 'Movie', '2013-2013', 'R'],Madhouse,GamePsychological
['42', 'Little Witch Academia', '1', "['Trigger']", "['Adventure', 'Comedy', 'Fantasy', 'Magic', 'School']", 'Movie', '2013-2013', 'PG-13'],Trigger,AdventureComedyFantasyMagicSchool
['43', 'Psycho-Pass Movie', '1', "['Production I.G', 'FUNimation Entertainment', 'Nitroplus']", "['Action', 'Military', 'Police', 'Sci-Fi']", 'Movie', '2015-2015', 'R'],ProductionI.GFUNimationEntertainmentNitroplus,ActionMilitaryPoliceSci-Fi
['44', 'Kokurikozaka kara (From Up on Poppy Hill)', '1', "['Studio Ghibli', 'GKids', 'Nippon Television Network Corporation']", "['Historical', 'Romance', 'School', 'Shoujo']", 'Movie', '2011-2011', 'G'],StudioGhibliGKidsNipponTelevisionNetworkCorporation,HistoricalRomanceSchoolShoujo
['45', 'Kurenai no Buta (Porco Rosso)', '1', "['Studio Ghibli', 'Tokuma Shoten', 'Walt Disney Studios', 'GKids', 'Nippon Television Network Corporation']", "['Action', 'Adventure', 'Comedy', 'Drama', 'Historical', 'Military', 'Romance']", 'Movie', '1992-1992', 'G'],StudioGhibliTokumaShotenWaltDisneyStudiosGKidsNipponTelevisionNetworkCorporation,ActionAdventureComedyDramaHistoricalMilitaryRomance
['46', 'Madang-Eul Naon Amtalg (Daisy: A Hen into the Wild)', '1', "['MK Pictures']", "['Adventure', 'Drama', 'Kids']", 'Movie', '2011-2011', 'G'],MKPictures,AdventureDramaKids
['47', 'Neko no Ongaeshi (The Cat Returns)', '1', "['Studio Ghibli', 'Walt Disney Studios', 'GKids']", "['Adventure', 'Drama', 'Fantasy']", 'Movie', '2002-2002', 'G'],StudioGhibliWaltDisneyStudiosGKids,AdventureDramaFantasy
['48', 'Saint\xe2\x98\x86Oniisan (Movie) (Saint\xe2\x98\x86Young Men (Movie))', '1', "['Aniplex', 'A-1 Pictures', 'Kodansha', 'Toho Company']", "['Comedy', 'Seinen', 'Slice of Life']", 'Movie', '2013-2013', 'PG-13'],AniplexA-1PicturesKodanshaTohoCompany,ComedySeinenSliceofLife
['49', 'Initial D Third Stage', '1', "['OB Planning', 'FUNimation Entertainment']", "['Action', 'Cars', 'Drama', 'Seinen', 'Sports']", 'Movie', '2001-2001', 'PG-13'],OBPlanningFUNimationEntertainment,ActionCarsDramaSeinenSports
['50', 'Aikatsu! Movie', '1', "['Sunrise']", "['Music', 'School', 'Shoujo', 'Slice of Life']", 'Movie', '2014-2014', 'G'],Sunrise,MusicSchoolShoujoSliceofLife
['51', 'Hadashi no Gen (Barefoot Gen)', '1', "['Madhouse', 'RCC Chugoku Broadcasting']", "['Drama', 'Historical']", 'Movie', '1983-1983', 'PG-13'],MadhouseRCCChugokuBroadcasting,DramaHistorical
['52', 'Vampire Hunter D (2000) (Vampire Hunter D: Bloodlust)', '1', "['Madhouse', 'Animate Film', 'Movic', 'Discotek']", "['Action', 'Drama', 'Fantasy', 'Horror', 'Romance', 'Sci-Fi', 'Vampire']", 'Movie', '2000-2000', 'R'],MadhouseAnimateFilmMovicDiscotek,ActionDramaFantasyHorrorRomanceSci-FiVampire
