ID,Title,Episodes,ProductionHouse,Genres,Type,Year,Rating
71,Chikyuu Bouei Kazoku Special,13,"['Group TAC', 'Bandai Visual',  'Group TAC']","['Action',  'Comedy',  'Mecha',  'Super Power',  'School', 'Comedy',  'Kids']", TV, 2001-2001,2.9
72,Hana no Kage (Shadow of the Cherry Blossoms),1,"[ 'add some', 'None found', '']","[ 'Romance', 'Romance',  'Drama', 'Demons',  'Shorts',  'Historical']", Web, 2006-2006,2.9
73,To Heart 2 Special,13,"['Oriental Light and Magic', 'OLM']","[ 'Romance', 'Romance',  'School Life',  'School', 'Drama']", TV, 2005-2006,2.9
74,Great Mazinger tai Getter Robo,39,"['Dynamic Planning', 'Toei Animation']","[ 'Mecha', 'Action',  'Sci Fi',  'Sci-Fi']", TV, 1975-1976,2.9
75,Girls und Panzer: Fushou - Akiyama Yukari no Sensha Kouza,6,"['Actas',  'Sentai Filmworks']","['\'\'',  'School', 'Military']", DVD Special, 2012-2013,2.9
76,Itsuka Tenma no Kuro Usagi OVA,12,['Zexcs'],"[ 'Supernatural',  'Romance',  'Ecchi',  'Shounen',  'Fantasy',  'Demons',  'Vampire', 'Comedy', 'Based on a Light Novel',  'Vampires']", TV, 2011-2011,2.9
77,Sword Art Online: Sword Art Offline - Extra Edition,24,"[ 'Genco',  'Aniplex of America', 'Aniplex', 'A-1 Pictures',  'A-1 Pictures']","[ 'Game',  'Fantasy',  'Romance',  'Adventure', '\'\'', 'Action']", DVD Special, 2014-2014,2.9
78,Kampfer fur die Liebe,2,"[ 'DAX Production', 'Nomad',  'Nomad',  'Sentai Filmworks',  'Lantis', 'J.C.Staff']","[ 'Comedy',  'Super Power',  'Ecchi',  'Shoujo Ai',  'Gender Bender',  'Magical Girl',  'Based on a Light Novel', 'Action']", Other, 2011-2011,2.9
79,Crusher Joe (1989),2,"['Sunrise', 'Studio Nue']","[ 'Outer Space',  'Adventure',  'Mercenaries',  'Violence', 'Action',  'Sci Fi',  'Sci-Fi']", OVA, 1989-1989,2.9
80,Grander Musashi RV,39,"['Nippon Animation',  'Sotsu Agency',  'Shogakukan Productions']","['Adventure',  'Sports', 'Sports']", TV, 1998-1998,2.9
81,Kiddy Girl-and,24,"['Satelight',  'gimik',  'Kadokawa Shoten']","[ 'Comedy',  'Super Power',  'Futuristic',  'Superpowers',  'Original Work', 'Action', 'Fantasy',  'Sci-Fi',  'Sci Fi']", TV, 2009-2010,2.9
82,Pokemon Best Wishes! (Pokemon: Black &amp; White),84,"[ 'The Pokemon Company International',  'Oriental Light and Magic',  'Viz Media', 'TV Tokyo', 'OLM',  'Half H.P Studio',  'MediaNet',  'Studio Jack']","[ 'Family Friendly',  'Monsters',  'Comedy', 'Adventure',  'Adventure',  'Kids',  'Fantasy',  'Shounen',  'Monster-of-the-week', 'Action']", TV, 2010-2012,2.9
83,Futakoi (Twin Love),13,"['Telecom Animation Film',  'Lantis', 'ufotable']","[ 'School Life',  'Romance', 'Harem',  'School', 'Comedy']", TV, 2004-2004,2.9
84,Tenkuu Senki Shurato,38,"['Tatsunoko Pro.', 'Tatsunoko Productions']","[ 'Fantasy',  'Magic', 'Fantasy', 'Action',  'Shounen']", TV, 1989-1990,2.9
85,Wonderful Rush,1,"['Sunrise',  'Lantis', '']","['Music', '\'\'']", Music Video, 2012-2012,2.9
86,Dear Boys (Hoop Days),26,"['OB Planning',  'Bandai Entertainment']","[ 'Basketball',  'Sports',  'Shounen',  'School Club', 'Drama', 'Based on a Manga']", TV, 2003-2003,2.9
87,Cuticle Tantei Inaba (Cuticle Detective Inaba),12,"['Zexcs',  'Sentai Filmworks']","[ 'Supernatural',  'Comedy',  'Detectives',  'Mystery', 'Based on a Manga',  'Parody',  'Shounen',  'Violence', 'Action']", TV, 2013-2013,2.9
88,Air Master,27,"[ 'VAP', 'Toei Animation',  'Nippon Television Network Corporation']","[ 'Based on a Manga', 'Adventure',  'Panty Shots',  'Ecchi',  'Shounen', 'Action',  'Comedy']", TV, 2003-2004,2.9
89,Daphne in the Brilliant Blue Specials,2,"['J.C.Staff',  'Sentai Filmworks']","['Ecchi',  'Ecchi', 'Action',  'Comedy']", DVD Special, 2004-2004,2.9
90,Gokujou Seitokai (Best Student Council),26,"[ 'ADV Films',  'Konami', 'J.C.Staff']","[ 'School Life',  'Comedy',  'Slice of Life', 'Based on a Manga',  'School', 'Comedy']", TV, 2005-2005,2.9
91,Muramasa,1,['Tezuka Productions'],"[ 'Samurai',  'Horror',  'Shorts',  'Martial Arts', 'Historical', 'Samurai']", Movie, 1987-1987,2.9
92,Pupipo!,15,"[ 'AIC Plus+', 'TV Tokyo', 'AIC PLUS+']","[ 'Supernatural',  'Slice of Life',  'School', 'Comedy']", TV, 2013-2014,2.9
93,Arata Kangatari (Arata: The Legend),12,"['Satelight', 'TV Tokyo',  'Lantis',  'Satelight',  'JM animation']","[ 'Based on a Manga',  'Fantasy',  'Shounen',  'Person in a Strange World', 'Adventure']", TV, 2013-2013,2.9
94,Star Ocean EX,26,['Studio Deen'],"[ 'Based on a Video Game', 'Adventure',  'Magic',  'Fantasy',  'Shounen',  'Person in a Strange World',  'Sci-Fi',  'Sci Fi']", TV, 2001-2001,2.9
95,Mushi-uta,12,"[ 'Rakuonsha',  'Studio Tulip', 'WOWOW', 'Beat Frog',  'Broccoli',  'Zexcs',  'Beat Frog']","[ 'Superpowers',  'Fantasy', 'Based on a Light Novel', 'Action',  'Sci Fi',  'Sci-Fi']", TV, 2007-2007,2.9
96,Inu to Hasami wa Tsukaiyou (Dog &amp; Scissors),12,"[ 'Avex Entertainment', 'Gonzo',  'Sentai Filmworks', 'GONZO']","['Comedy',  'Supernatural']", TV, 2013-2013,2.9
97,Twilight Q,2,"['Ajia-Do',  'Studio Deen', 'Studio Deen']","[ 'Psychological', 'Mystery',  'Original Work',  'Romance',  'Sci-Fi',  'Sci Fi', 'Collections']", OVA, 1987-1987,2.9
98,Kyoukai no Rinne (TV) (RIN-NE),25,"['Brains-Base',  'NHK',  'Sentai Filmworks',  'NHK Enterprises', 'Shogakukan Productions',  'Brains Base']","[ 'Supernatural',  'Comedy',  'Romance',  'Japanese Mythology',  'Shinigami',  'Reincarnation',  'Shounen', 'Based on a Manga',  'Episodic',  'School', 'Comedy']", TV, 2015-2015,2.9
99,Chiisana Kyojin Microman,52,"['Studio Pierrot',  'TV Tokyo', '',  'Yomiko Advertising']","[ 'Comedy',  'Adventure',  'Super Power',  'Kids', 'Action',  'Shounen',  'Mecha', '\'\'',  'Sci-Fi']", TV, 1999-1999,2.9
100,Hagure Yuusha no Aesthetica (Aesthetica of a Rogue Hero),12,"[ 'Genco',  'Media Factory',  'FUNimation Entertainment',  'Showgate',  'AT-X', 'ARMS',  'Lantis', 'Arms']","[ 'Comedy',  'Super Power',  'Ecchi',  'Fantasy',  'Demons', 'Action', 'Based on a Light Novel']", DVD Special, 2012-2013,2.9
