Name	Net Worth(Billions$)	Source of Wealth
John Tu	 4.5 	computer hardware
Brian Acton	 4.4 	WhatsApp
Jeronimo Arango	 4.4 	retail
Pierre Bellon	 4.4 	food services
Stanley Druckenmiller	 4.4 	hedge funds
David Duffield	 4.4 	business software
Micky Jagtiani	 4.4 	retail
Wolfgang Reimann	 4.4 	consumer goods
Matthias Reimann-Andersen	 4.4 	consumer goods
Stefan Reimann-Andersen	 4.4 	consumer goods
Renate Reimann-Haas	 4.4 	consumer goods
Emanuele (Lino) Saputo	 4.4 	cheese
Jinquan Tong	 4.4 	real estate
Chuanfu Wang	 4.4 	batteries, autos
Bernard Broermann	 4.3 	hospitals
Mong-Koo Chung	 4.3 	motor vehicles
Joao Roberto Marinho	 4.3 	media
Jose Roberto Marinho	 4.3 	media
Roberto Irineu Marinho	 4.3 	media
Ricardo Salinas Pliego	 4.3 	retail, media
Jianjun Wei	 4.3 	automobiles
Ralph Dommermuth	 4.2 	internet service provider
Jeffery Hildebrand	 4.2 	oil
Henry Kravis	 4.2 	private equity
Sri Prakash Lohia	 4.2 	polyester
Carrie Perrodo	 4.2 	oil
Odd Reitan	 4.2 	retail, real estate
Stewart and Lynda Resnick	 4.2 	agriculture, water
Joseph Tsai	 4.2 	e-commerce
Wei Wang 	 4.2 	package delivery service
Cho Yaw Wee	 4.2 	banking
Yusuff Ali	 4.2 	retail
Americo Amorim	 4.1 	energy, investments
Dannine Avara	 4.1 	pipelines
John Doerr	 4.1 	venture capital
Scott Duncan	 4.1 	pipelines
Milane Frantz	 4.1 	pipelines
Hongjia Gong	 4.1 	investments
Yonghao Liu	 4.1 	agribusiness
George Roberts	 4.1 	private equity
Mark Scheinberg	 4.1 	online gambling
Reinhold Schmieding	 4.1 	medical devices
Randa Williams	 4.1 	pipelines
Jin Sook &amp; Do Won Chang	 4 	fashion retail
James Dyson	 4 	vacuums
Chang-Woo Han	 4 	pachinko parlors
Bertil Hult	 4 	education
James Jannard	 4 	sunglasses
Vikram Lal	 4 	motorcycles
Nancy Walton Laurie	 4 	Wal-Mart
