Rank,Title,Episodes,Producers,Genres,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors
1743,Mai-Otome (My ZHiME),26,"['Sunrise', 'Bandai Visual', 'FUNimation Entertainment', 'Lantis', 'Bandai Entertainment', 'TV Tokyo Music']","['Comedy', 'Drama', 'Fantasy', 'Magic']",TV,2005,2006,PG-13,7.43,"['Kikuchi Mika', 'Koshimizu Ami', 'Yukana', 'Chiba Saeko']"
2695,Maihime,1,"['Toei Animation']","['Drama', 'Historical', 'Romance']",OVA,2006,2006,PG-13,7.14,"[]"
2694,Mai-Otome Specials,9,"['Sunrise']","['Comedy', 'Drama', 'Fantasy', 'Magic']",Special,2006,2006,PG-13,7.15,"['Chiba Saeko', 'Kikuchi Mika', 'Nakahara Mai', 'Koshimizu Ami']"
1949,Mai-Otome Zwei,4,"['Sunrise', 'Bandai Visual', 'FUNimation Entertainment', 'Lantis', 'Bandai Entertainment']","['Action', 'Magic']",OVA,2006,2007,R+,7.37,"['Chiba Saeko', 'Shindo Naomi', 'Kikuchi Mika', 'Nakahara Mai']"
3438,Mai-Otome Zwei Special,1,"['Sunrise', 'Bandai Visual', 'Lantis']","['Magic']",Special,2008,2008,G,6.93,"[]"
2054,Mai Mai Shinko to Sennen no Mahou (Mai-Mai Miracle),1,"['Madhouse']","['Adventure', 'Drama']",Movie,2009,2009,PG,7.34,"['Fukuda Mayuko', 'Mizusawa Nako', 'Morisako Ei']"
960,Mainichi Kaasan (Kaasan,142,"['NAS']","['Comedy', 'Slice of Life']",TV,2009,2012,PG,7.73,"['Mori Kumiko', 'Sonozaki Mie', 'Fujii Yuna', 'Hiromasa Taguchi']"
245,Maison Ikkoku,96,"['Studio Deen', 'Kitty Films']","['Comedy', 'Drama', 'Romance', 'Slice of Life']",TV,1986,1988,R+,8.26,"['Shimamoto Sumi', 'Watanabe Kumiko', 'Futamata Issei', 'Chiba Shigeru', 'Mita Yuko']"
3005,Maji de Watashi ni Koi Shinasai! (Majikoi: Oh! Samurai Girls),12,"['Sentai Filmworks', 'Lerche']","['Comedy', 'Ecchi', 'Harem', 'Martial Arts', 'Romance', 'School', 'Super Power']",TV,2011,2011,R+,7.06,"['Asakawa Yuu', 'Hyo-sei', 'Tomonaga Akane', 'Kamiya Hiroshi']"
2939,Majime ni Fumajime Kaiketsu Zorori,97,"['Ajia-Do']","['Adventure', 'Kids']",TV,2005,2007,PG,7.08,"['Yamadera Kouichi']"
3236,Majimoji Rurumo (Magimoji Rurumo),12,"['J.C.Staff', 'Pony Canyon', 'Kodansha', 'AT-X', 'DAX Production', 'Bushiroad Inc.']","['Comedy', 'Ecchi', 'Fantasy', 'Magic', 'School', 'Shounen']",TV,2014,2014,PG-13,6.99,"['Mimori Suzuko', 'Takahashi Makoto', 'Fukuen Misato', 'Noto Mamiko']"
3566,Majin Bone,52,"['Toei Animation']","['Game']",TV,2014,2015,PG-13,6.89,"['Yoshino Hiroyuki', 'Tachibana Shinnosuke', 'Sanpei Yuuko', 'Sendai Eri']"
822,Majin Tantei Nougami Neuro (Neuro: Supernatural Detective),25,"['Madhouse', 'VAP']","['Comedy', 'Demons', 'Mystery', 'Shounen', 'Supernatural']",TV,2007,2008,R,7.80,"['Koyasu Takehito', 'Ueda Kana', 'Park Romi', 'Yoshino Hiroyuki']"
246,Majo no Takkyuubin (Kiki&#039;s Delivery Service),1,"['Studio Ghibli', 'Studio Hibari', 'Walt Disney Studios', 'GKids']","['Adventure', 'Comedy', 'Drama', 'Fantasy', 'Magic', 'Romance']",Movie,1989,1989,G,8.26,"['Takayama Minami', 'Sakuma Rei', 'Takayama Minami', 'Yamaguchi Kappei']"
4184,Majokko Megu-chan,72,"['Toei Animation']","['Magic', 'Shoujo']",TV,1974,1975,PG-13,6.73,"['Tsukase Noriko', 'Yoshida Rihoko', 'Yamaguchi Nana', 'Ootake Hiroshi']"
996,Majokko Shimai no Yoyo to Nene (Magical Sisters Yoyo &amp; Nene),1,"['Aniplex', 'ufotable', 'Starchild Records', 'Tokuma Shoten']","['Fantasy', 'Magic']",Movie,2013,2013,G,7.71,"['Morohoshi Sumire', 'Kakuma Ai', 'Chou Katsumi', 'Honda Takako']"
3667,Majokko Tsukune-chan,6,"['Xebec', 'Starchild Records']","['Comedy', 'Magic']",OVA,2005,2006,R,6.86,"['Momoi Haruko']"
116,Major S1,26,"['Shogakukan Productions', 'Studio Hibari', 'NHK']","['Comedy', 'Drama', 'Shounen', 'Sports']",TV,2004,2005,PG-13,8.47,"['Kumai Motoko', 'Sasamoto Yuuko', 'Kugimiya Rie', 'Sasajima Kaoru']"
126,Major S2,26,"['Studio Hibari', 'NHK']","['Comedy', 'Drama', 'Shounen', 'Sports']",TV,2005,2006,PG-13,8.45,"['Morikubo Showtaro', 'Kumai Motoko', 'Morita Masakazu', 'Sasamoto Yuuko', 'Yasumura Makoto']"
127,Major S3,26,"['Studio Hibari', 'NHK']","['Drama', 'Shounen', 'Sports']",TV,2007,2007,PG-13,8.45,"['Morikubo Showtaro', 'Park Romi', 'Mori Norihisa', 'Kusao Takeshi']"
163,Major S4,26,"['NHK', 'SynergySP']","['Comedy', 'Drama', 'Shounen', 'Sports']",TV,2008,2008,PG-13,8.39,"['Morikubo Showtaro', 'Kumai Motoko', 'Ishii Kouji', 'Enomoto Atsuko', 'Morita Masakazu']"
63,Major S5,25,"['NHK', 'SynergySP']","['Comedy', 'Drama', 'Romance', 'Sports']",TV,2009,2009,PG-13,8.61,"['Morikubo Showtaro', 'Kumai Motoko', 'Morita Masakazu', 'Sasamoto Yuuko', 'Yasumura Makoto']"
94,Major S6,25,"['NHK', 'SynergySP']","['Comedy', 'Drama', 'Sports']",TV,2010,2010,PG-13,8.52,"['Morikubo Showtaro', 'Morita Masakazu', 'Sasamoto Yuuko', 'Ochiai Kouji']"
2194,Majutsushi Orphen (Orphen),24,"['J.C.Staff', 'Kadokawa Shoten', 'TBS', 'Sentai Filmworks']","['Action', 'Adventure', 'Comedy', 'Demons', 'Fantasy', 'Magic']",TV,1998,1999,PG-13,7.30,"['Morikubo Showtaro', 'Iizuka Mayumi', 'Minami Omi', 'Okiayu Ryotaro']"
3439,Makai Senki Disgaea (Disgaea),12,"['Oriental Light and Magic', 'FUNimation Entertainment']","['Action', 'Comedy', 'Demons', 'Fantasy', 'Magic']",TV,2006,2006,PG-13,6.93,"['Mizuhashi Kaori', 'Hanba Tomoe', 'Sasamoto Yuuko', 'Majima Junji']"
4111,Maken-Ki!,12,"['AIC', 'FUNimation Entertainment']","['Action', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Super Power']",TV,2011,2011,R+,6.75,"['Yahagi Sayuri', 'Shitaya Noriko', 'Nomizu Iori', 'Maeno Tomoaki', 'Shida Arisa']"
3773,Maken-Ki! OVA,2,"['Xebec', 'AIC', 'FUNimation Entertainment']","['Action', 'Ecchi', 'Harem', 'Martial Arts', 'School', 'Super Power']",OVA,2012,2013,R+,6.83,"['Shitaya Noriko', 'Saito Chiwa', 'Maeno Tomoaki', 'Yahagi Sayuri', 'Harada Hitomi']"
3636,Makiba no Shoujo Katori (Katri, Girl of the Meadows),49,"['Nippon Animation']","['Adventure', 'Drama', 'Historical', 'Slice of Life']",TV,1984,1984,G,6.87,"['Oikawa Hitomi', 'Shioya Yoku', 'Sugita Ikuko', 'Furuya Toru']"
3841,Mama wa Poyopoyo Saurus ga Osuki (Mama Loves the Poyopoyo-Saurus),52,"['None found', 'add some']","['Comedy', 'Kids', 'Slice of Life']",TV,1995,1996,G,6.81,"[]"
2488,Mama wa Shougaku 4 Nensei,51,"['Sunrise']","['Comedy', 'Drama', 'Sci-Fi']",TV,1992,1992,PG,7.21,"['Koorogi Satomi', 'Ikura Kazue', 'Yoshida Rihoko']"
1892,Mameshiba,20,"['Dentsu']","['Comedy']",Special,2008,2011,G,7.39,"[]"
2416,Mamoru-kun ni Megami no Shukufuku wo! (Venus to Mamoru!),24,"['Zexcs']","['Comedy', 'Romance', 'School']",TV,2006,2007,PG-13,7.23,"['Kimura Akiko', 'Takahashi Mikako', 'Oohata Shintarou', 'Sanada Asami']"
2979,Mamotte! Lollipop (Save Me! Lollipop),13,"['FUNimation Entertainment', 'Studio Comet', 'Delphi Sound']","['Adventure', 'Comedy', 'Magic', 'Romance', 'Shoujo']",TV,2006,2006,PG-13,7.07,"['Ootani Miki', 'Shouji Yui', 'Nakamura Daisuke', 'Namiki Noriko']"
3886,Mamotte Shugogetten! (Protect Me, Heavenly Moon Guardian!),22,"['Toei Animation']","['Comedy', 'Fantasy', 'Magic', 'Romance', 'Shounen']",TV,1998,1999,PG-13,6.80,"['Kouda Mariko', 'Sakaguchi Daisuke', 'Takada Yumi', 'Kawasumi Ayako']"
4939,Manga Nippon Mukashibanashi (1976),1471,"['None found', 'add some']","['Fantasy', 'Historical']",TV,1976,1994,G,6.50,"[]"
2940,Manga Sarutobi Sasuke (Ninja the Wonder Boy),24,"['Knack Productions']","['Adventure', 'Comedy', 'Historical', 'Supernatural']",TV,1979,1980,PG,7.08,"[]"
2417,Manga Sekai Mukashibanashi (Manga Fairy Tales of the World),127,"['Madhouse', 'TBS', 'DAX Production']","['Adventure', 'Drama', 'Fantasy', 'Historical']",TV,1976,1979,G,7.23,"[]"
1675,Maoyuu Maou Yuusha (Maoyu,12,"['Arms', 'Genco', 'Animax', 'Sentai Filmworks']","['Adventure', 'Demons', 'Fantasy', 'Romance']",TV,2013,2013,PG-13,7.45,"['Koshimizu Ami', 'Fukuyama Jun', 'Sawashiro Miyuki', 'Fukuen Misato']"
1792,Mangaka-san to Assistant-san to The Animation,12,"['Lantis', 'Zexcs', 'Magic Capsule', 'Sentai Filmworks']","['Comedy', 'Ecchi', 'Harem', 'Seinen', 'Slice of Life']",TV,2014,2014,PG-13,7.42,"['Matsuoka Yoshitsugu', 'Hayami Saori', 'Kugimiya Rie', 'Noto Arisa']"
1851,Mangaka-san to Assistant-san to The Animation Specials,6,"['Lantis', 'Zexcs']","['Comedy', 'Ecchi', 'Harem', 'Seinen', 'Slice of Life']",Special,2014,2014,PG-13,7.40,"['Matsuoka Yoshitsugu', 'Hayami Saori', 'Kugimiya Rie', 'Noto Arisa']"
