ID,Rank,Title,Episodes,Producers,Type,PremieredYear,ENDYear,Rating,Score,VoiceActors,,
2283,3656,Di Gi Charat Natsuyasumi Special,4,['TBS'],Special,2001,2001,G,6.85,[],,
2284,3657,Egao,1,"['None found', 'add some']",Music,2003,2003,G,6.86,[],,
2285,3658,Five Star Stories (The Five Star Stories),1,"['Sunrise', 'ADV Films', 'Kadokawa Shoten']",Movie,1989,1989,R,6.86,"['Horikawa Ryo', 'Kawamura Maria', 'Sakuma Rei', 'Wakamoto Norio']",,
2286,3659,Fushigi no Umi no Nadia Specials,10,['Gainax'],Special,2003,2003,PG-13,6.86,"['Takamori Yoshino', 'Hidaka Noriko', 'Sakurai Toshiharu']",,
2287,3661,Grisaia no Kajitsu Specials,6,['8bit'],Special,2014,2015,R+,6.86,"['Tomonaga Akane', 'Mizuhashi Kaori', 'Taguchi Hiroko', 'Tanaka Ryouko']",,
2288,3662,Hoshizora no Violin,1,"['None found', 'add some']",Movie,1994,1994,G,6.86,[],,
2289,3663,Houkago no Pleiades (TV) (Wish Upon the Pleiades),12,"['Gainax', 'Sentai Filmworks']",TV,2015,2015,G,6.86,"['Takamori Natsumi', 'Ohashi Ayuru', 'Fujita Saki', 'Tateno Kanako']",,
2290,3665,Log Horizon Recap,1,['Satelight'],Special,2013,2013,PG-13,6.86,[],,
2291,3666,Mahou Shoujo Lyrical Nanoha ViVid,12,"['Aniplex', 'A-1 Pictures', 'Starchild Records']",TV,2015,2015,PG-13,6.86,"['Mizuhashi Kaori', 'Noto Mamiko', 'Mizuki Nana', 'Tamura Yukari']",,
2292,3667,Majokko Tsukune-chan,6,"['Xebec', 'Starchild Records']",OVA,2005,2006,R,6.86,['Momoi Haruko'],,
2293,3668,Mobile Suit Gundam ZZ,47,['Sunrise'],TV,1986,1987,PG-13,6.86,"['Sakakibara Yoshiko', 'Yao Kazuki', 'Matsui Naoko', 'Hara Eriko']",,
2294,3669,Night Wizard,13,['Hal Film Maker'],TV,2007,2007,PG-13,6.86,"['Kogure Ema', 'Yanagi Naoki', 'Gotou Yuuko', 'Watanabe Akeno']",,
2295,3671,Redline Pilot,1,['Madhouse'],Special,2009,2009,PG-13,6.86,[],,
2296,3672,Salad Juu Yuushi Tomatoman (Tomatoman),50,"['TV Tokyo', 'Yomiko Advertising', 'Gakken']",TV,1992,1993,G,6.86,"['Aikawa Rikako', 'Sasaki Nozomu']",,
2297,3673,Soreyuke! Uchuu Senkan Yamamoto Yohko (1999),26,"['J.C.Staff', 'Kadokawa Shoten']",TV,1999,1999,PG-13,6.86,"['Takayama Minami', 'Hayashibara Megumi', 'Yukino Satsuki', 'Miyamura Yuko']",,
2298,3675,Steel Angel Kurumi Encore,4,"['Oriental Light and Magic', 'ADV Films', 'Pony Canyon']",OVA,2000,2000,PG-13,6.86,"['Enomoto Atsuko', 'Tanaka Rie', 'Kurata Masayo', 'Vincent-Davis Kira']",,
2299,3678,Yume Senshi Wingman (Wingman),47,['Toei Animation'],TV,1984,1985,PG-13,6.86,"['Watanabe Naoko', 'Kawanami Yoko', 'Horikawa Ryo', 'Nakano Seiko']",,
2300,3680,Ace wo Nerae! 2,13,"['Bandai Visual', 'Tokyo Movie Shinsha']",OVA,1988,1988,PG-13,6.85,"['Mizutani Yuuko', 'Sakakibara Yoshiko', 'Nozawa Nachi', 'Inoue Kazuhiko']",,
2301,3682,Araiguma Rascal (Raccoon Rascal),52,['Nippon Animation'],TV,1977,1977,G,6.85,['Nozawa Masako'],,
2302,3683,Attack No.1,104,['Tokyo Movie Shinsha'],TV,1969,1971,PG-13,6.85,"['Kobato Kurumi', 'Masuyama Eiko', 'Sakai Sumie']",,
2303,3684,Azuki-chan,117,['Madhouse'],TV,1995,1998,G,6.84,"['Yukana', 'Miyazaki Issei', 'Kawata Taeko', 'Matsumoto Rika']",,
2304,3685,Azumanga Web Daioh,1,['J.C.Staff'],ONA,2000,2000,G,6.85,"['Kawasumi Ayako', 'Saitou Ayaka', 'Hanba Tomoe']",,
2305,3688,Dance with Devils,12,"['FUNimation Entertainment', 'Brains Base', 'DIVE II Entertainment']",TV,2015 to ?,2015 to ?,None,6.85,"['Hirakawa Daisuke', 'Saito Soma', 'Kimura Subaru', 'Hatano Wataru']",,
2306,3691,Fate/kaleid liner Prisma☆Illya 2wei! Specials,5,"['Lantis', 'Silver Link', 'DAX Production']",Special,2014,2015,PG-13,6.85,"['Ueda Kana', 'Kadowaki Mai', 'Saito Chiwa', 'Nazuka Kaori']",,
2307,3692,Fate/kaleid liner Prisma☆Illya Specials,5,['Silver Link'],Special,2013,2014,PG-13,6.85,"['Ueda Kana', 'Kadowaki Mai', 'Nazuka Kaori', 'Itou Shizuka']",,
2308,3693,Gad Guard,26,"['Gonzo', 'Hal Film Maker', 'FUNimation Entertainment', 'Media Factory', 'Imagica', 'Amber Film Works']",TV,2003,2003,PG-13,6.85,"['Suwabe Junichi', 'Suzumura Kenichi', 'Kurata Masayo', 'Sato Yuko']",,
2309,3696,Hachijunichikan Sekai Isshuu,26,['Nippon Animation'],TV,1984,1984,G,6.85,[],,
2310,3698,Happy☆Lesson (TV),13,"['KSS', 'ADV Films']",TV,2002,2002,PG-13,6.85,"['Kimura Akiko', 'Asano Ruri', 'Kishio Daisuke', 'Inoue Kikuko']",,
2311,3700,Hyakko OVA,1,['Nippon Animation'],OVA,2009,2009,PG-13,6.85,"['Orikasa Fumiko', 'Kuwashima Houko']",,
2312,3701,Kakumei no Wakaki Sora,1,['Shinano Kikaku'],OVA,2010,2010,G,6.84,[],,
2313,3703,Kyouryuu Daisensou Aizenborg,39,"['TV Tokyo', 'Tsuburaya Productions']",TV,1977,1978,G,6.85,"['Mizutori Tetsuo', 'Kami Kyounosuke', 'Hazumi Jun', 'Kanemoto Shingo']",,
2314,3704,Loveless Specials,6,"['None found', 'add some']",Special,2005,2006,PG-13,6.85,"['Minagawa Junko', 'Konishi Katsuyuki']",,
2315,3705,Mushi-Uta,12,"['WOWOW', 'Beat Frog', 'Broccoli', 'Studio Tulip', 'Rakuonsha', 'Zexcs']",TV,2007,2007,PG-13,6.85,"['Asanuma Shintaro', 'Hanazawa Kana', 'Nabatame Hitomi', 'Hamada Kenji']",,
2316,3706,Namiuchigiwa no Muromi-san OVA,1,['Tatsunoko Productions'],OVA,2013,2013,PG-13,6.85,"['Tamura Yukari', 'Mizushima Takahiro', 'Nakahara Mai', 'Sakai Kanako']",,
2317,3707,Project BLUE Chikyuu SOS (Project Blue Earth SOS),6,"['FUNimation Entertainment', 'A.C.G.T.']",TV,2006,2006,PG-13,6.85,"['Saiga Mitsuki', 'Watanabe Akeno', 'Ikeda Masaru']",,
2318,3708,Ray The Animation (Ray),13,"['Oriental Light and Magic', 'Touhouku Shinsha', 'Maiden Japan']",TV,2006,2006,PG-13,6.85,"['Nogawa Sakura', 'Takahashi Hiroki', 'Ootsuka Akio', 'Namikawa Daisuke', 'Tsumura Makoto']",,
2319,3710,Shadow Skill,1,"['Takeshobo', 'Zero-G Room']",OVA,1995,1995,R,6.85,['Hayashibara Megumi'],,
2320,3712,Spoon Oba-San,130,"['Studio Pierrot', 'Gakken']",TV,1983,1984,PG,6.85,"['Shimamoto Sumi', 'Yanami Jouji', 'Senou Reiko']",,
2321,3715,Ultra Maniac OVA,1,['Production Reed'],OVA,2002,2002,G,6.84,"['Omimura Mayuko', 'Yukino Satsuki', 'Chiba Susumu', 'Kamiya Hiroshi']",,
2322,3716,Yama no Susume (Encouragement of Climb),12,"['8bit', 'Earth Star Entertainment']",TV,2013,2013,G,6.85,"['Iguchi Yuka', 'Ogura Yui', 'Asumi Kana', 'Hikasa Yoko']",,
2323,3717,Yoroiden Samurai Troopers Kikoutei Densetsu,4,"['Sunrise', 'Bandai Entertainment', 'Discotek']",OVA,1989,1990,PG-13,6.85,"['Takemura Hiroshi', 'Nakamura Daiki', 'Kusao Takeshi']",,
2324,3719,Akuma no Riddle (Riddle Story of Devil),12,"['Diomedea', 'FUNimation Entertainment', 'Mainichi Broadcasting', 'Pony Canyon', 'DAX Production']",TV,2014,2014,R,6.84,"['Suwa Ayaka', 'Kanemoto Hisako', 'Nanjo Yoshino', 'Ootsubo Yuka']",,
2325,3720,Aru Machi Kado no Monogatari (Tales of the Street Corner),1,['Mushi Productions'],Movie,1962,1962,G,6.84,[],,
2326,3721,Bannou Bunka Neko-Musume (All Purpose Cultural Cat Girl Nuku Nuku),6,"['Studio Fantasia', 'Starchild Records', 'ADV Films', 'Animate Film', 'Movic']",OVA,1992,1994,PG-13,6.84,"['Hayashibara Megumi', 'Kamiya Akira', 'Shimazu Saeko', 'Ikura Kazue']",,
2327,3722,Candy Candy (Movie),1,['Toei Animation'],Movie,1992,1992,G,6.84,"['Matsushima Minori', 'Horikawa Ryo', 'Onosaka Masaya']",,
2328,3723,Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs. Shin-O 60-bu Special!!,1,['TV Asahi'],Special,2007,2007,PG,6.84,"['Yajima Akiko', 'Seki Toshihiko']",,
2329,3724,Da Nao Tiangong (Uproar in Heaven),1,['Shanghai Animation Film Studio'],Movie,1964,1964,G,6.84,[],,
2330,3725,Denkou Chou Tokkyuu Hikarian,52,"['TV Tokyo', 'Tokyo Kids']",TV,2002,2003,G,6.84,[],,
2331,3726,Di Gi Charat Christmas Special,1,"['Madhouse', 'TBS', 'Sentai Filmworks']",Special,2000,2000,G,6.84,[],,
2332,3727,Dirty Pair Flash,6,"['Sunrise', 'VAP', 'ADV Films', 'Right Stuf', 'Studio Jack']",OVA,1994,1994,PG-13,6.84,"['Matsumoto Rika', 'Kouda Mariko', 'Touma Yumi', 'Koseki Hajime']",,
2333,3728,Doraemon and Itchy the Stray,1,['Asatsu DK'],Special,1987,1987,PG,6.83,['Ooyama Nobuyo'],,
2334,3731,Duel Masters Cross,100,['Shogakukan Music &amp; Digital Entertainment'],TV,2008,2010,PG-13,6.84,"['Kobayashi Yumiko', 'Kishio Daisuke', 'Nakajima Saki']",,
2335,3733,Gilgamesh,26,"['Group TAC', 'ADV Films']",TV,2003,2004,R,6.84,"['Namikawa Daisuke', 'Saiga Mitsuki', 'Shibuya Shigeru', 'Nakamura Chie']",,
2336,3734,Honoo no Tenkousei,2,"['Gainax', 'Studio Fantasia', 'Youmex']",OVA,1991,1991,PG-13,6.84,"['Seki Toshihiko', 'Genda Tessyo', 'Hidaka Noriko']",,
2337,3736,Kingyo Chuuihou! (Goldfish Forecast!),54,['Toei Animation'],TV,1991,1992,PG,6.84,"['Kanai Mika', 'Tobita Nobuo', 'Shioya Yoku', 'Takada Yumi']",,
2338,3737,Machine-Doll wa Kizutsukanai Specials,6,"['Genco', 'FUNimation Entertainment', 'Lerche']",Special,2013,2014,R+,6.84,"['Harada Hitomi', 'Shimono Hiro', 'Asumi Kana', 'Takamoto Megumi']",,
2339,3738,Mirai Robo Daltanias (Future Robo Daltanius),47,['Toei Animation'],TV,1979,1980,PG-13,6.84,"['Nishimura Tomomichi', 'Han Keiko', 'Furukawa Toshio', 'Inoue You']",,
2340,3739,Morita-san wa Mukuchi. 2,13,"['DAX Production', 'Takeshobo', 'Seven']",TV,2011,2011,PG-13,6.84,"['Hanazawa Kana', 'Hayami Saori', 'Nanjo Yoshino', 'Tomatsu Haruka']",,
2341,3740,Muumin (1972),52,['Mushi Productions'],TV,1972,1972,G,6.84,"['Nishimoto Hiroyuki', 'Kishida Kyouko', 'Hori Junko', 'Tomita Kousei']",,
2342,3741,Myself ; Yourself Specials,2,['Doga Kobo'],Special,2008,2008,PG-13,6.84,[],,
2343,3742,Nagareboshi Lens,1,"['Kinema Citrus', 'Advance Syakujii']",OVA,2012,2012,G,6.84,"['Hanazawa Kana', 'Asanuma Shintaro']",,
2344,3744,Nobunaga the Fool,24,"['TV Tokyo', 'Satelight', 'Lantis', 'Media Factory', 'Sentai Filmworks']",TV,2014,2014,R,6.84,"['Miyano Mamoru', 'Hikasa Yoko', 'Nakamura Yuuichi', 'Chihara Minori']",,
2345,3745,Oniichan dakedo Ai Sae Areba Kankeinai yo ne! (OniAi),12,"['FUNimation Entertainment', 'Lantis', 'Media Factory', 'AT-X', 'Silver Link', 'DAX Production', 'Cospa', 'Sony Music Communications', 'Nexus']",TV,2012,2012,R+,6.84,"['Chihara Minori', 'Kido Ibuki', 'Kitamura Eri', 'Shimoda Asami']",,
2346,3746,Superflat Monogram,1,['Toei Animation'],Special,2003,2003,G,6.84,[],,
2347,3747,Tokyo Babylon,2,"['Madhouse', 'Animate Film', 'Movic', 'Sony Music Entertainment']",OVA,1992,1994,R,6.84,"['Yamaguchi Kappei', 'Hirota Masanobu', 'Koyasu Takehito', 'Itou Miki', 'Tsuru Hiromi']",,
2348,3748,Working&#039;!! Announcement Specials,2,['A-1 Pictures'],ONA,2011,2011,G,6.84,"['Hirohashi Ryou', 'Asumi Kana', 'Fukuyama Jun', 'Nakamura Yuuichi']",,
2349,3749,Yuusha Raideen,50,['Sunrise'],TV,1975,1976,PG-13,6.84,"['Kamiya Akira', 'Takiguchi Junpei', 'Egawa Saiko', 'Miyauchi Kouhei']",,
2350,3751,Afro Samurai Pilot,1,['Madhouse'],Special,2003,2003,R+,6.83,[],,
2351,3753,Anime de Wakaru Shinryounaika (Comical Psychosomatic Medicine),20,['Shin-Ei Animation'],ONA,2015,2015,PG-13,6.83,"['Endou Yurika', 'Miki Shinichiro', 'Hikasa Yoko', 'Sudou Saori']",,
2352,3754,Bakusou Kyoudai Let&#039;s &amp; Go,51,"['Production I.G', 'Xebec']",TV,1996,1996,G,6.83,"['Ikezawa Haruna', 'Fuchizaki Yuriko', 'Watanabe Kumiko', 'Imai Yuka']",,
2353,3755,Bari Bari Densetsu,2,['Studio Pierrot'],OVA,1986,1986,PG-13,6.83,"['Nakao Ryuusei', 'Tanaka Hideyuki']",,
2354,3756,Beet the Vandel Buster Excellion,25,"['Toei Animation', 'Sony Music Entertainment']",TV,2005,2006,PG,6.83,"['Kiuchi Reiko', 'Hisakawa Aya', 'Maeda Ai']",,
2355,3759,Di Gi Charat Tsuyu Specials,2,['Madhouse'],Special,2001,2001,G,6.82,[],,
2356,3762,Gambo,1,"['Sunrise', 'Sentai Filmworks']",Movie,2013,2013,R,6.83,[],,
2357,3764,Hanaukyou Maid-tai OVA (Maid in Hanaukyo),3,"['Daume', 'm.o.e.']",OVA,2001,2001,R+,6.83,"['Tanaka Rie', 'Kaida Yuki', 'Hiramatsu Akiko']",,
2358,3765,Hareluya II Boy,25,"['TV Tokyo', 'Triangle Staff']",TV,1997,1997,PG-13,6.83,"['Miki Shinichiro', 'Ueda Yuji', 'Oda Yuusei', 'Miura Naoko']",,
2359,3769,Katte ni Kaizou Specials,3,['Shaft'],Special,2011,2011,R+,6.83,"['Sakurai Takahiro', 'Kitamura Eri', 'Saito Chiwa', 'Toyosaki Aki']",,
2360,3770,Koharu Biyori,3,"['Daume', 'ADV Films', 'Sentai Filmworks', 'ASCII Media Works', 'Showgate']",OVA,2007,2008,R+,6.83,"['Kitamura Eri', 'Kondou Takayuki', 'Akesaka Satomi', 'Shimizu Ai']",,
2361,3773,Maken-Ki! OVA,2,"['Xebec', 'AIC', 'FUNimation Entertainment']",OVA,2012,2013,R+,6.83,"['Shitaya Noriko', 'Saito Chiwa', 'Maeno Tomoaki', 'Yahagi Sayuri', 'Harada Hitomi']",,
2362,3774,Maze☆Bakunetsu Jikuu (TV) (Maze: The Mega-Burst Space),25,"['J.C.Staff', 'Kadokawa Shoten', 'Central Park Media']",TV,1997,1997,PG-13,6.83,"['Seki Tomokazu', 'Mitsuishi Kotono', 'Orikasa Ai', 'Tange Sakura', 'Satou Masaharu']",,
2363,3775,Megane na Kanojo,4,['AIC Takarazuka'],OVA,2010,2010,PG-13,6.83,"['Imai Asami', 'Hanazawa Kana', 'Hayami Saori', 'Abe Atsushi']",,
2364,3778,Nagagutsu wo Haita Neko no Bouken,26,['Enoki Films'],TV,1992,1992,G,6.83,[],,
2365,3779,Nurse Angel Ririka SOS,35,"['NAS', 'TV Tokyo Music']",TV,1995,1996,PG,6.83,"['Asou Kaori', 'Kikuchi Hidehiro', 'Ishida Akira', 'Fuchizaki Yuriko']",,
2366,3780,Ore, Twintails ni Narimasu. (Gonna be the Twin-Tails!!),12,"['Action', 'Comedy', 'Fantasy', 'Romance', 'School', 'Shounen']",TV,2014,2014,PG-13,6.83,"['Aisaka Yuuka', 'Shimazaki Nobunaga', 'Uesaka Sumire', 'Uchida Maaya', 'Akasaki Chinatsu']",
2367,3781,Oz no Mahou Tsukai (1986) (The Wizard of Oz),52,['Panmedia'],TV,1986,1987,G,6.83,"['Yasuhara Yoshito', 'Shimamoto Sumi']",,
2368,3783,Skull Man (The Skull Man),13,"['Bones', 'Diomedea', 'Sentai Filmworks']",TV,2007,2007,PG-13,6.83,"['Tsuchida Hiroshi', 'Katou Masayuki', 'Yasumura Makoto', 'Kawasumi Ayako']",,
2369,3784,Spriggan,1,"['Studio 4°C', 'ADV Films', 'TBS']",Movie,1998,1998,R,6.83,"['Morikubo Showtaro', 'Aigase Ryuji', 'Tamagawa Sakiko', 'Shiroyama Ken']",,
2370,3785,Teekyuu 2 Specials,2,"['MAPPA', 'Earth Star Entertainment']",Special,2013,2013,PG-13,6.82,"['Hanazawa Kana', 'Watanabe Yui', 'Mimori Suzuko', 'Narumi Kyoko']",,
2371,3786,The House,1,"['None found', 'add some']",Movie,2011,2011,G,6.83,[],,
2372,3788,Tottemo! Luckyman,50,"['TV Tokyo', 'Yomiko Advertising', 'TV Tokyo Music']",TV,1994,1995,G,6.83,"['Iwanaga Tetsuya', 'Tanaka Mayumi', 'Chiba Shigeru']",,
2373,3790,Akai Ito,1,"['None found', 'add some']",Special,2009,2009,G,6.82,[],,
2374,3792,Ashita e Attack! (Attack on Tomorrow),23,['Nippon Animation'],TV,1977,1977,PG-13,6.82,"['Koyama Mami', 'Nobusawa Mieko', 'Yokozawa Keiko', 'Matsukane Yoneko']",,
2375,3793,Black Jack ONA,12,"['None found', 'add some']",ONA,2001,2002,PG,6.82,"['Ootsuka Akio', 'Utada Hikaru', 'Canna Nobutoshi']",,
2376,3794,Brothers Conflict Special,1,['Brains Base'],Special,2014,2014,PG-13,6.82,"['Suzumura Kenichi', 'Maeno Tomoaki', 'Hosoya Yoshimasa', 'KENN']",,
2377,3795,Cross Fight B-Daman eS,52,"['TV Tokyo', 'd-rights']",TV,2012,2013,G,6.81,"['Kokuryu Sachi', 'Oohara Momoko', 'Takumi Yasuaki', 'Takamoto Megumi']",,
2378,3796,Dan Doh!!,26,"['Tokyo Kids', 'Horipro', 'Bandai Entertainment']",TV,2004,2004,G,6.82,"['Kobayashi Yuu', 'Hirayama Aya', 'Nakahara Shigeru']",,
2379,3798,Fate/Zero Cafe,1,['ufotable'],Movie,2013,2013,G,6.82,[],,
2380,3799,God Eater Prologue,1,['ufotable'],Special,2009,2009,R,6.82,"['Sakamoto Maaya', 'Nakai Kazuya', 'Hirata Hiroaki', 'Tanaka Atsuko']",,
2381,3801,Jewelpet Kira☆Deco!,52,"['TV Tokyo', 'Studio Comet']",TV,2012,2013,PG,6.82,"['Saitou Ayaka', 'Hirano Aya', 'Sasaki Nozomi', 'Terashima Takuma']",,
2382,3802,Kämpfer,12,"['Nomad', 'TBS', 'Sentai Filmworks']",TV,2009,2009,R+,6.82,"['Nazuka Kaori', 'Inoue Marina', 'Horie Yui', 'Nakajima Megumi']",,
2383,3803,Ketsuekigata-kun!,12,"['Feel', 'Earth Star Entertainment']",TV,2013,2013,PG-13,6.82,"['Ishida Akira', 'Kakihara Tetsuya', 'Fukuyama Jun', 'Nakamura Yuuichi']",,
2384,3805,Kitakubu Katsudou Kiroku (Chronicles of the Going Home Club),12,"['Nomad', 'NIS America', 'Inc.']",TV,2013,2013,PG-13,6.82,"['Kido Ibuki', 'Kobayashi Miharu', 'Aiuchi Sae', 'Yuina Mizuki']",,
2385,3806,Kujira no Chouyaku,1,"['Bandai Visual', 'Ai ga areba Daijobu', 'Tamura Shigeru Studio']",Movie,1998,1998,G,6.82,[],,
2386,3810,Recorder to Randoseru Do♪ (Recorder and Randsell),13,"['Takeshobo', 'Seven', 'Dream Creation']",TV,2012,2012,PG-13,6.82,"['Okiayu Ryotaro', 'Kugimiya Rie', 'Hirano Aya', 'Uchida Aya']",,
2387,3813,Super Robot Taisen OG The Animation,3,"['Bandai Visual', 'Media Blasters']",OVA,2005,2005,PG-13,6.82,"['Morikawa Toshiyuki', 'Mizutani Yuuko', 'Sugita Tomokazu', 'Ono Kenichi']",,
2388,3814,Tales of Gekijou,5,['Sunrise'],Special,2012,2012,G,6.82,"['Toriumi Kousuke', 'Suzuki Chihiro', 'Onosaka Masaya', 'Matsumoto Yasunori']",,
2389,3815,Teekyuu 3 Specials,2,"['MAPPA', 'Earth Star Entertainment']",Special,2014,2014,PG-13,6.82,"['Hanazawa Kana', 'Ogura Yui']",,
2390,3816,Usavich Special,1,['Kanaban Graphics'],Special,2008,2008,G,6.82,['Ueno Hironori'],,
2391,3817,Video Senshi Lezarion (Video Warrior Laserion),45,['Toei Animation'],TV,1984,1985,PG-13,6.82,"['Hironaka Masashi', 'Kanie Eiji', 'Kawanami Yoko', 'Taki Masaya']",,
2392,3819,Ai Tenshi Densetsu Wedding Peach DX (Wedding Peach DX),4,"['KSS', 'ADV Films']",OVA,1996,1997,G,6.81,"['Hikami Kyouko', 'Yukana', 'Miyamura Yuko']",,
2393,3820,Appleseed,1,"['Gainax', 'Bandai Visual', 'Touhouku Shinsha', 'TBS', 'Movic']",OVA,1988,1988,PG-13,6.81,"['Katsuki Masako', 'Sakaguchi Yoshisada', 'Sawada Toshiko', 'Furukawa Toshio']",,
2394,3821,Bakegyamon,51,['Radix'],TV,2006,2007,PG,6.81,"['Saiga Mitsuki', 'Kobayashi Yumiko', 'Yasumura Makoto', 'Katou Nanae']",,
2395,3822,Bakuten Shoot Beyblade (Beyblade),51,"['Madhouse', 'd-rights', 'Nelvana', 'Heewon Entertainment']",TV,2001,2001,PG,6.81,"['Takano Urara', 'Hisakawa Aya', 'Kumai Motoko', 'Orikasa Ai']",,
2396,3823,Betterman,26,"['Sunrise', 'Bandai Entertainment', 'Sentai Filmworks']",TV,1999,1999,R,6.81,"['Koyasu Takehito', 'Hikami Kyouko', 'Yamaguchi Kappei', 'Iwao Junko']",,
2397,3825,Chance Triangle Session,13,"['Madhouse', 'Avex Entertainment', 'ADV Films']",TV,2001,2001,PG-13,6.81,"['Iizuka Mayumi', 'Kouda Mariko', 'Koyasu Takehito']",,
2398,3826,Chuuzumou,1,['Studio Ghibli'],Movie,2010,2010,G,6.81,[],,
2399,3829,Fluximation,14,['Studio 4°C'],Music,2005,2005,G,6.81,[],,
2400,3831,Hurricane Live! 2033,7,['AIC'],Special,1990,1990,PG-13,6.81,[],,
2401,3832,Iketeru Futari,16,"['J.C.Staff', 'TBS']",TV,1999,1999,R+,6.81,"['Araki Kae', 'Shibuya Shigeru', 'Ichijo Kazuya', 'rino']",,
2402,3833,Isshuukan Friends. Specials,12,"['Brains Base', 'Sentai Filmworks', 'TOHO animation']",Special,2014,2014,PG-13,6.81,['Amamiya Sora'],,
2403,3834,Kakutou Bijin Wulong (Fighting Beauty Wulong),25,['TMS Entertainment'],TV,2005,2006,R,6.81,['Yamazaki Wakana'],,
2404,3835,Kanokon (Kanokon: The Girl Who Cried Fox),12,"['Xebec', 'Media Factory', 'Movic', 'AT-X', 'Media Blasters']",TV,2008,2008,R+,6.81,"['Kawasumi Ayako', 'Takeuchi Miyu', 'Noto Mamiko', 'Toyonaga Toshiyuki']",,
2405,3837,Kemeko Deluxe!,12,"['Geneon Universal Entertainment', 'Hal Film Maker', 'YTV', 'The Klock Worx', 'AC Create', 'Yomiuri Advertising']",TV,2008,2008,PG-13,6.81,"['Tomatsu Haruka', 'Saito Chiwa', 'Kitamura Eri', 'Takahashi Mikako']",,
2406,3839,Kuro ga Ita Natsu,1,"['GEN Productions', 'RCC Chugoku Broadcasting']",Movie,1990,1990,G,6.81,[],,
2407,3840,Lemon Angel Project,13,['Radix'],TV,2006,2006,PG,6.81,"['Chihara Minori', 'Shihono Ryou', 'Kadowaki Mai', 'Maruyama Miki']",,
2408,3841,Mama wa Poyopoyo Saurus ga Osuki (Mama Loves the Poyopoyo-Saurus),52,"['None found', 'add some']",TV,1995,1996,G,6.81,[],,
2409,3843,Oyayubi Hime Monogatari (Thumbelina: A Magical Story),26,['Enoki Films'],TV,1992,1992,G,6.81,['Kanai Mika'],,
2410,3846,Pucca (2006),26,"['None found', 'add some']",TV,2006,2007,G,6.81,[],,
2411,3848,Recorder to Randoseru Mi☆,12,"['Takeshobo', 'Seven']",TV,2013,2013,PG-13,6.81,"['Okiayu Ryotaro', 'Kugimiya Rie', 'Hirano Aya', 'Ino Maki']",,
2412,3849,Redial,1,['Poncotan'],Music,2013,2013,G,6.81,[],,
2413,3850,Rokujouma no Shinryakusha!?,1,['Silver Link'],Special,2010,2010,PG-13,6.81,[],,
2414,3851,Shigofumi Picture Drama,7,"['Bandai Visual', 'Genco']",Special,2008,2008,PG-13,6.81,"['Ueda Kana', 'Matsuoka Yuki', 'Asano Masumi']",,
2415,3852,Shin Ace wo Nerae! (New Aim for the Ace!),25,['Tokyo Movie Shinsha'],TV,1978,1979,PG-13,6.81,['Kousaka Makoto'],,
2416,3853,Space Cobra Pilot,1,['Right Stuf'],Special,1981,1981,PG-13,6.81,[],,
2417,3855,Tono to Issho,1,['Gathering'],OVA,2010,2010,PG-13,6.81,"['Suzuki Tatsuhisa', 'Gackt', 'Kuroda Takaya', 'Noto Mamiko']",,
2418,3857,Transformers Micron Densetsu (Transformers Armada),52,"['Actas', 'Hasbro']",TV,2003,2003,PG-13,6.81,"['Yanada Kiyoyuki', 'Yamanoi Jin', 'Ookawa Tooru']",,
2419,3858,Transformers Victory,44,['Toei Animation'],TV,1989,1989,PG,6.81,"['Tanaka Hideyuki', 'Aono Takeshi', 'Shioya Yoku']",,
2420,3859,True Tears Epilogue,1,"['Bandai Visual', 'Lantis', 'P.A. Works']",Music,2010,2010,PG-13,6.81,[],,
2421,3861,Ushinawareta Mirai wo Motomete (In Search of the Lost Future),12,"['Feel', 'Starchild Records', 'FUNimation Entertainment']",TV,2014,2014,R+,6.81,"['Tomonaga Akane', 'Tamiyasu Tomoe', 'Takada Hatsumi', 'Mizusawa Kei']",,
2422,3862,Wagaya no Oinari-sama. Specials,12,"['None found', 'add some']",Special,2008,2009,PG-13,6.81,"['Yukana', 'Nakamura Yuuichi', 'Hayami Saori', 'Kano Yui', 'Mizushima Takahiro']",,
2423,3863,White Album,13,['Seven Arcs'],TV,2009,2009,PG-13,6.81,"['Mizuki Nana', 'Hirano Aya', 'Maeno Tomoaki', 'Park Romi']",,
2424,3864,Wonder,1,['Mirai Film'],Movie,2014,2014,G,6.81,[],,
2425,3868,Chibi☆Devi!,75,"['Shogakukan Productions', 'SynergySP', 'Half H.P Studio']",TV,2011,2014,PG,6.8,"['Shitaya Noriko', 'Yoshino Hiroyuki', 'Iguchi Yuka', 'Nishi Asuka']",,
2426,3869,Choujikuu Kidan Southern Cross (Robotech Masters),23,"['ADV Films', 'Tatsunoko Productions', 'Big West']",TV,1984,1984,R+,6.8,"['Tomizawa Michie', 'Gouri Daisuke', 'Mizukura Kumiko', 'Doi Mika']",,
2427,3872,Cross Fight B-Daman (B-Daman Crossfire),52,"['SynergySP', 'TV Tokyo Music']",TV,2011,2012,None,6.8,"['Kokuryu Sachi', 'Oohara Momoko', 'Itou Kentarou', 'Takeuchi Ryouta']",,
